filename, language, Python, Jupyter, YAML, JSON, comment, blank, total
/home/julius/projects/curious/.mypy_cache/3.7/http/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/client.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/client.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/cookiejar.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/cookiejar.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/cookies.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/cookies.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/server.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/http/server.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/importlib/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/importlib/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/importlib/abc.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/importlib/abc.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/inspect.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/inspect.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/io.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/io.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/itertools.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/itertools.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/json/__init__.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/json/__init__.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/json/decoder.data.json, JSON, 0, 0, 0, 1, 0, 0, 1
/home/julius/projects/curious/.mypy_cache/3.7/json/decoder.meta.json, JSON, 0, 0, 0, 1, 0, 0, 1
