,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
331,331,201,24,201,35,201,201,201,201,201,30
332,332,201,23,201,25,201,32,201,35,201,44
333,333,201,23,201,201,201,36,201,40,201,41
334,334,201,48,201,23,201,38,201,201,201,31
335,335,201,61,201,21,201,38,201,37,201,30
336,336,201,25,201,23,201,201,201,33,201,33
337,337,201,42,201,22,201,31,201,29,201,40
338,338,201,26,201,25,201,36,201,36,201,32
339,339,201,27,201,29,201,37,201,34,201,34
340,340,201,24,201,24,201,34,201,44,201,26
341,341,201,27,201,24,201,37,201,39,201,30
342,342,201,20,201,23,201,37,201,45,201,35
343,343,201,29,201,25,201,36,201,30,201,34
344,344,201,20,201,26,201,52,201,34,201,34
345,345,201,21,201,22,201,48,201,32,201,34
346,346,201,23,201,26,201,36,201,32,201,24
347,347,201,23,201,30,201,35,201,201,201,31
348,348,201,29,201,25,201,35,201,37,201,34
349,349,201,23,201,21,201,41,201,39,201,45
350,350,201,28,201,29,201,37,201,32,201,30
351,351,201,54,201,27,201,37,201,201,201,36
352,352,201,26,201,26,201,31,201,45,201,36
353,353,201,28,201,26,201,201,201,37,201,38
354,354,201,24,201,201,201,32,201,201,201,32
355,355,201,24,201,26,201,31,201,201,201,60
356,356,201,24,201,24,201,33,201,35,201,32
357,357,201,22,201,22,201,42,201,29,201,37
358,358,201,24,201,201,201,36,201,44,201,34
359,359,201,25,201,23,201,41,201,42,201,30
360,360,201,23,201,27,201,29,201,34,201,30
361,361,201,23,201,23,201,39,201,29,201,31
362,362,201,23,201,27,201,36,201,201,201,35
363,363,201,25,201,32,201,31,201,43,201,27
364,364,201,22,201,20,201,37,201,40,201,23
365,365,201,22,201,26,201,33,201,201,201,31
366,366,201,22,201,24,201,33,201,33,201,64
367,367,201,21,201,21,201,39,201,45,201,29
368,368,201,56,201,20,201,201,201,37,201,36
369,369,201,23,201,21,201,38,201,31,201,25
370,370,201,23,201,26,201,36,201,201,201,37
371,371,201,21,201,20,201,29,201,34,201,36
372,372,201,26,201,29,201,28,201,201,201,32
373,373,201,24,201,19,201,201,201,36,201,30
374,374,201,25,201,25,201,201,201,201,201,27
375,375,201,27,201,22,201,28,201,201,201,33
376,376,201,25,201,24,201,201,201,35,201,32
377,377,201,22,201,24,201,29,201,38,201,32
378,378,201,66,201,23,201,28,201,201,201,201
379,379,201,25,201,21,201,201,201,26,201,29
380,380,201,46,201,201,201,29,201,25,201,34
381,381,201,25,201,25,201,31,201,43,201,33
382,382,201,20,201,21,201,34,201,32,201,28
383,383,201,23,201,24,201,27,201,36,201,33
384,384,201,25,201,25,201,32,201,201,201,37
385,385,201,21,201,22,201,39,201,57,201,35
386,386,201,23,201,23,201,35,201,35,201,31
387,387,201,31,201,22,201,30,201,34,201,28
388,388,201,24,201,21,201,25,201,31,201,32
389,389,201,26,201,21,201,35,201,36,201,33
